alpha,seed,algo,final_reward,final_stability
0.55,2,EGP,-252.3809323406546,0.40285164312120764
0.55,2,FPRL,-205.43883229625365,0.4496106826834919
0.55,3,PPO,-157.02198388668162,0.5606837254574423
0.55,3,EGP,-255.3607715970305,0.43121771313201457
0.55,3,FPRL,-226.59641626724317,0.4545307124612108
0.55,4,PPO,-266.2757212122307,0.40686050838985083
0.55,4,EGP,-168.85439213102205,0.4790014280617661
0.55,4,FPRL,-192.98655018613258,0.4565320680774151
0.55,5,PPO,-157.1443769778402,0.5072732362954356
0.55,5,EGP,-216.44822468389413,0.452172447992382
0.55,5,FPRL,-200.89725670947792,0.4582260799967526
0.55,6,PPO,-138.0470365875426,0.6031479877133795
0.55,6,EGP,-170.1851576537893,0.5024105618741336
0.55,6,FPRL,-201.5042563173323,0.4794677039847509
0.55,7,PPO,-423.2159367145202,0.12140175127944751
0.55,7,EGP,-184.22705325708313,0.45032251781272425
0.55,7,FPRL,-217.72657485590602,0.4301033122059956
0.55,8,PPO,-199.28092770958617,0.38457914324459364
0.55,8,EGP,-163.39547636599355,0.4887367785571328
0.55,8,FPRL,-220.51733099853823,0.43494580464633037
0.55,9,PPO,-117.96882077914049,0.5568426952698315
0.55,9,EGP,-133.8475607073035,0.5357834674414925
0.55,9,FPRL,-209.34414356759385,0.4601891604692532
0.55,10,PPO,-147.06000299765233,0.5182698417069198
0.55,10,EGP,-150.6318851082025,0.4991128444434379
0.55,10,FPRL,-194.70906792364522,0.4629355764029717
0.6,1,PPO,-130.92841843456816,0.5676314549548882
0.6,1,EGP,-242.0032108057939,0.4244208345619332
0.6,1,FPRL,-218.11305538605367,0.4547692388486755
0.6,2,PPO,-171.11781004407058,0.48427248323483907
0.6,2,EGP,-260.53773510167014,0.3947924930248598
0.6,2,FPRL,-205.60247612482704,0.4495180255468292
0.6,3,PPO,-157.02198388668162,0.5606837254574423
0.6,3,EGP,-257.78872940683914,0.42781188910810286
0.6,3,FPRL,-226.5935576500274,0.4544312285890226
0.6,4,PPO,-266.2757212122307,0.40686050838985083
0.6,4,EGP,-167.48310366264997,0.4803281319209047
0.6,4,FPRL,-193.09168368299237,0.4566773708277847
0.6,5,PPO,-157.1443769778402,0.5072732362954356
0.6,5,EGP,-218.92003920573,0.450314038828061
0.6,5,FPRL,-200.8689458806308,0.45797327910833796
0.6,6,PPO,-138.0470365875426,0.6031479877133795
0.6,6,EGP,-170.8521513143037,0.5020004810544412
0.6,6,FPRL,-201.16710338393764,0.4791431158465689
0.6,7,PPO,-423.2159367145202,0.12140175127944751
0.6,7,EGP,-182.71332596062643,0.4523185888371163
0.6,7,FPRL,-218.07434934506668,0.4303887442550839
0.6,8,PPO,-199.28092770958617,0.38457914324459364
0.6,8,EGP,-159.5101297875261,0.49234822256736893
0.6,8,FPRL,-220.09210058860376,0.43480178422987564
0.6,9,PPO,-117.96882077914049,0.5568426952698315
0.6,9,EGP,-130.40101784741222,0.5394045668135303
0.6,9,FPRL,-209.2535490943274,0.46046822968017526
0.6,10,PPO,-147.06000299765233,0.5182698417069198
0.6,10,EGP,-149.3451590620955,0.5005118217723995
0.6,10,FPRL,-194.96222471218715,0.46324325565529717
0.65,1,PPO,-130.92841843456816,0.5676314549548882
