seed,algo,alpha,avg_reward,reward_std,stab_error
31,SAC,0.1,-414.134243843838,56.09931074742073,0.3866763590229901
31,EGP,0.1,-343.4052569811057,64.73928547373421,0.48042230048856893
31,FPRL,0.1,-398.5211523038779,69.4917715508405,0.45159759622186235
31,ICRL,0.1,-343.4052569811057,64.73928547373421,0.48042230048856893
32,PPO,0.1,-290.6721747197139,43.97280511686205,0.4612263557366303
32,SAC,0.1,-334.6724759015301,52.79024035133803,0.483789966659134
32,EGP,0.1,-290.88045677318956,44.14917392164582,0.46114308709712687
32,FPRL,0.1,-388.5447946590701,50.88966329957413,0.4270747307424996
32,ICRL,0.1,-290.88045677318956,44.14917392164582,0.46114308709712687
33,PPO,0.1,-372.13673793712303,66.28204321705404,0.4140602169388591
33,SAC,0.1,-420.0777985366109,63.79381583172969,0.40514990676618595
33,EGP,0.1,-372.1956897223334,66.2515328040296,0.4144416939652777
33,FPRL,0.1,-415.7762853329642,68.11490074803964,0.3869693393046695
33,ICRL,0.1,-372.1956897223334,66.2515328040296,0.4144416939652777
34,PPO,0.1,-309.51652525451135,54.390899730812784,0.486463265316431
34,SAC,0.1,-405.5418056406866,69.49569705171808,0.41076319830932484
34,EGP,0.1,-310.4787896638907,54.500135809429025,0.4873300524197505
34,FPRL,0.1,-380.83611414826464,65.00838358727843,0.4620731016553819
34,ICRL,0.1,-310.4787896638907,54.500135809429025,0.4873300524197505
35,PPO,0.1,-312.1381636667137,57.366402468694794,0.44974742119382927
35,SAC,0.1,-369.4097802858876,69.21567038683482,0.43102995714718273
35,EGP,0.1,-309.4596342673507,56.68904900777725,0.44971954045097906
35,FPRL,0.1,-404.1981893922496,58.140132917880386,0.40785561723263475
35,ICRL,0.1,-309.4596342673507,56.68904900777725,0.44971954045097906
36,PPO,0.1,-277.7107130456257,46.46198249653475,0.4549412325501233
36,SAC,0.1,-415.9208186971385,67.56727650448494,0.4392896072877988
36,EGP,0.1,-278.1575447289982,46.28455222783732,0.4557934339208732
36,FPRL,0.1,-399.6766583090019,60.37417825008267,0.4289505123260136
36,ICRL,0.1,-278.1575447289982,46.28455222783732,0.4557934339208732
37,PPO,0.1,-387.99548671231713,62.30416962985519,0.4491555043121227
37,SAC,0.1,-423.9643625147271,60.019493775351016,0.4235852361510511
37,EGP,0.1,-388.18163694149575,62.452140923642155,0.44921116990408905
37,FPRL,0.1,-403.12642379099935,61.57468484910817,0.43339709525551817
37,ICRL,0.1,-388.18163694149575,62.452140923642155,0.44921116990408905
38,PPO,0.1,-308.7968510062619,48.60648787850935,0.4501133338607363
38,SAC,0.1,-336.0757788352139,56.032428288838524,0.44700683959055404
38,EGP,0.1,-309.45001294903466,48.750499777896486,0.45014242490093936
38,FPRL,0.1,-386.4922643756831,60.25186081934988,0.41800420960970597
38,ICRL,0.1,-309.45001294903466,48.750499777896486,0.45014242490093936
39,PPO,0.1,-359.93934088769544,63.87481309814516,0.41186230737424795
39,SAC,0.1,-378.09032360140725,53.79939605071837,0.4499797019046632
39,EGP,0.1,-360.0850438218834,63.975340273715524,0.4120418960077064
39,FPRL,0.1,-418.29058706201425,69.52099196882772,0.3901717912756142
39,ICRL,0.1,-360.0850438218834,63.975340273715524,0.4120418960077064
40,PPO,0.1,-305.8217106134036,49.03181730657521,0.4531848169465731
40,SAC,0.1,-381.11289735116566,60.550454755823544,0.40274127960795636
40,EGP,0.1,-306.0498487776657,49.062738709934955,0.4534786619599115
40,FPRL,0.1,-387.87280740629444,58.47329445365423,0.4313967587364616
40,ICRL,0.1,-306.0498487776657,49.062738709934955,0.4534786619599115
41,PPO,0.1,-359.3990992020375,55.21741678152038,0.4601020498668651
41,SAC,0.1,-440.10991892291037,71.93962838894842,0.3695218187013662
41,EGP,0.1,-359.26825530708703,55.18475778825139,0.4602934875472968
41,FPRL,0.1,-401.68411780932024,60.11900678476741,0.4428296494644452
41,ICRL,0.1,-359.26825530708703,55.18475778825139,0.4602934875472968
42,PPO,0.1,-355.72155506293956,55.52823341296414,0.4251750116907066
42,SAC,0.1,-453.97957510267344,84.33550694722001,0.38285116730760566
42,EGP,0.1,-356.02283488830454,55.52158689774749,0.4250956544994854
42,FPRL,0.1,-402.73960651298125,60.40590784716683,0.40274176205212153
42,ICRL,0.1,-356.02283488830454,55.52158689774749,0.4250956544994854
43,PPO,0.1,-347.435405342423,53.06953290476377,0.4528135750640326
43,SAC,0.1,-402.24443007694225,63.03245029206297,0.4525824320785383
43,EGP,0.1,-346.4814985607184,52.919711461992094,0.4524265946302057
43,FPRL,0.1,-406.79768584573003,60.240051956223944,0.41640417326864776
