seed,algo,sigma_obs,alpha,avg_reward,reward_std,stab_error
27,ICRL,0.01,0.5,-199.58859536051247,72.5900043740015,0.5510234300239932
28,PPO,0.01,0.5,-163.14242851349226,58.45661997982496,0.4810180003794852
28,SAC,0.01,0.5,-248.03029710725193,109.86211005220274,0.5727695250915743
28,EGP,0.01,0.5,-163.63386006197373,57.24324272131349,0.48162153859562695
28,FPRL,0.01,0.5,-571.6067168538907,246.27703099605725,0.5249555458103417
28,ICRL,0.01,0.5,-163.63386006197373,57.24324272131349,0.48162153859562695
29,PPO,0.01,0.5,-205.11380054115733,88.57926533675582,0.5612667602972599
29,SAC,0.01,0.5,-232.53349737880555,78.68285061718792,0.5735771720390767
29,EGP,0.01,0.5,-204.8853364337301,84.445349499124,0.5562562470372405
29,FPRL,0.01,0.5,-819.4695873847674,250.5268122689664,0.6333699720835573
29,ICRL,0.01,0.5,-204.8853364337301,84.445349499124,0.5562562470372405
30,PPO,0.01,0.5,-181.36144481243053,60.394103078538215,0.5311738647542574
30,SAC,0.01,0.5,-312.9725210945427,87.38252765271554,0.5844286748051883
30,EGP,0.01,0.5,-180.75076888779324,64.61152440401268,0.5306338568063832
30,FPRL,0.01,0.5,-663.7496164109277,203.05655788149537,0.5691086842043586
30,ICRL,0.01,0.5,-180.75076888779324,64.61152440401268,0.5306338568063832
1,PPO,0.01,1.0,-199.8786807933093,66.92400326979462,0.5468883980962859
1,SAC,0.01,1.0,-261.0952832341497,96.19158680949953,0.534791020366153
1,EGP,0.01,1.0,-214.1139234552511,73.72057110779315,0.563496767557777
1,FPRL,0.01,1.0,-588.9334364686463,172.01745663756614,0.624076724343743
1,ICRL,0.01,1.0,-214.1139234552511,73.72057110779315,0.563496767557777
2,PPO,0.01,1.0,-171.75916381919515,63.41696052771904,0.5598540581767296
2,SAC,0.01,1.0,-188.6669159877657,54.97147564190442,0.49780045704856035
2,EGP,0.01,1.0,-193.83974880297583,81.79662478728454,0.5743878674875164
2,FPRL,0.01,1.0,-459.41166564587064,176.56411537582062,0.5979077117848061
2,ICRL,0.01,1.0,-193.83974880297583,81.79662478728454,0.5743878674875164
3,PPO,0.01,1.0,-224.0382702498209,74.88442694729378,0.5304704414316083
3,SAC,0.01,1.0,-271.6410075225024,101.58493945618137,0.5950271801425204
3,EGP,0.01,1.0,-225.45269453706635,71.51973886085688,0.5301292498568975
3,FPRL,0.01,1.0,-701.4362142825665,201.8888356771513,0.5741125591291537
3,ICRL,0.01,1.0,-225.45269453706635,71.51973886085688,0.5301292498568975
4,PPO,0.01,1.0,-203.20557171999604,72.80707331182973,0.5476618745234063
4,SAC,0.01,1.0,-291.3569014185107,122.83124204697697,0.5819453467593418
4,EGP,0.01,1.0,-201.64745163780873,70.82180936092959,0.5460835679486313
4,FPRL,0.01,1.0,-643.1488154069694,233.50351833643512,0.6178497872982794
4,ICRL,0.01,1.0,-201.64745163780873,70.82180936092959,0.5460835679486313
5,PPO,0.01,1.0,-195.7590129693653,64.98863357587413,0.534322934790304
5,SAC,0.01,1.0,-334.35130437724604,142.9774588201852,0.5136507307533775
5,EGP,0.01,1.0,-197.5357941996425,62.35685501660759,0.5350227961776357
5,FPRL,0.01,1.0,-593.3064520982681,162.79676638989474,0.5888548518819434
5,ICRL,0.01,1.0,-197.5357941996425,62.35685501660759,0.5350227961776357
6,PPO,0.01,1.0,-230.99213605358813,99.56330830916649,0.6229119765052511
6,SAC,0.01,1.0,-434.3089127041487,205.89713775571192,0.5601169473630055
6,EGP,0.01,1.0,-231.66976628897038,104.20008379803083,0.6201267911402149
