seed,algo,n_agents,beta,gamma,avg_reward,collapse_count,final_resource,reward_std
28,EGP,3,0.3,1.0,-39.78675915043261,1,0.962167676945202,0.5247599643468801
28,FPRL,3,0.3,1.0,-5.128616786161532,300,0.0,0.10620667236476647
29,PPO,3,0.3,1.0,-39.82069876319625,3,0.9610629681407271,0.5286639481274584
29,EGP,3,0.3,1.0,-39.82069876319625,3,0.9610629681407271,0.5286639481274584
29,FPRL,3,0.3,1.0,-5.087305379195685,300,0.0,0.08301619660119842
30,PPO,3,0.3,1.0,-39.82557571546612,1,0.9659372288023874,0.47520434798818617
30,EGP,3,0.3,1.0,-39.82557571546612,1,0.9659372288023874,0.47520434798818617
30,FPRL,3,0.3,1.0,-5.120611069854564,300,0.0,0.11469683479560772
31,PPO,3,0.3,1.0,-40.001936021198816,3,0.9431465111492419,0.5083153687314259
31,EGP,3,0.3,1.0,-40.001936021198816,3,0.9431465111492419,0.5083153687314259
31,FPRL,3,0.3,1.0,-5.0849909312463595,300,0.0,0.08009508165140361
32,PPO,3,0.3,1.0,-39.99620624984175,5,0.9690335834819631,0.6265057917365194
32,EGP,3,0.3,1.0,-39.99620624984175,5,0.9690335834819631,0.6265057917365194
32,FPRL,3,0.3,1.0,-5.106875825173255,300,0.0,0.09262315576135746
33,PPO,3,0.3,1.0,-39.92971969166288,3,0.9690538432493856,0.5348205089552257
33,EGP,3,0.3,1.0,-39.92971969166288,3,0.9690538432493856,0.5348205089552257
33,FPRL,3,0.3,1.0,-5.114086876909682,300,0.0,0.08123971176431674
34,PPO,3,0.3,1.0,-39.79703696321438,3,0.9479249828171838,0.49522522821243403
34,EGP,3,0.3,1.0,-39.79703696321438,3,0.9479249828171838,0.49522522821243403
34,FPRL,3,0.3,1.0,-5.084466160070699,300,0.0,0.07358481012743756
35,PPO,3,0.3,1.0,-39.90464969562006,3,0.9576084358203779,0.5580066107953271
35,EGP,3,0.3,1.0,-39.90464969562006,3,0.9576084358203779,0.5580066107953271
35,FPRL,3,0.3,1.0,-5.105529349965956,300,0.0,0.08818928950042128
