alpha,seed,algo,avg_reward,stability_error
0.5,14,PPO,-246.15535092496458,0.4042559085124261
0.5,15,EGP,-219.3087884880545,0.4613988665080702
0.5,15,FPRL,-211.8838198638714,0.4594360302515146
0.5,15,PPO,-147.41555595152903,0.5780657218742284
0.5,16,EGP,-176.96587979588614,0.4944852501449489
0.5,16,FPRL,-204.0206201576018,0.4659648951174131
0.5,16,PPO,-85.3563717614118,0.6093250625176928
0.5,17,EGP,-282.20487397458027,0.35082056773680576
0.5,17,FPRL,-200.11558448073797,0.45520457662819924
0.5,17,PPO,-393.343538142541,0.17589247430133922
0.5,18,EGP,-136.3891099948232,0.5374335966434388
0.5,18,FPRL,-203.1339074281892,0.4616882655758767
0.5,18,PPO,-109.0041376794206,0.5643098385172252
0.5,19,EGP,-124.43879077684244,0.5343529568915593
0.5,19,FPRL,-204.4442844480881,0.4539991893145228
0.5,19,PPO,-215.3006351212851,0.44262119232524344
0.5,20,EGP,-77.5075280962639,0.563817589662774
0.5,20,FPRL,-204.82971793853162,0.4565649498071343
0.5,20,PPO,-98.34161512875478,0.5214980866945526
0.5,21,EGP,-92.33322782971838,0.576074404542078
0.5,21,FPRL,-209.8119661201506,0.4619716784900227
0.5,21,PPO,-93.21120228505703,0.5859396347321701
0.5,22,EGP,-166.5580547164818,0.47075178745351076
0.5,22,FPRL,-200.23730583346182,0.45496706394502057
0.5,22,PPO,-435.38672671272315,0.10781953611334615
0.5,23,EGP,-230.39181699901485,0.4260050205214293
0.5,23,FPRL,-205.99773371759318,0.4589033503579023
0.5,23,PPO,-57.43868546943221,0.4904533320394304
0.5,24,EGP,-87.44988189304883,0.5688564323344457
0.5,24,FPRL,-209.96152573405323,0.44627677157561424
0.5,24,PPO,-93.73965066040523,0.5485252786663033
0.5,25,EGP,-208.22398539280854,0.44863444990331436
0.5,25,FPRL,-205.13667746072767,0.4577630673610178
0.5,25,PPO,-199.36308490983305,0.450103809128477
